"SiteID","DEN_N.ARGR","DEN_N.PRDC","DEN_N.NRDC","DEN_N.LNDC","DEN_N.MNWH","DEN_N.FNDC","DEN_N.LNSC","DEN_N.BRST","DEN_N.LKCH","DEN_N.BLTR","DEN_N.WHSC","DEN_N.SLSC","DEN_N.NFDC","DEN_N.RDSH","DEN_N.BURB","DEN_N.TRPR"
"136refU",0,0,0,0,0,0.0126262626262626,0,0,0.0126262626262626,0,0,0.029040404040404,0,0,0,0
"137refD",0,0,0.00593471810089021,0.0039564787339268,0,0.00791295746785361,0.00494559841740851,0,0.0108803165182987,0,0.0019782393669634,0.00890207715133531,0,0.0108803165182987,0,0.0029673590504451
"137refU",0,0,0.00515995872033024,0.00412796697626419,0,0.00825593395252838,0.00515995872033024,0,0.00928792569659443,0,0.00103199174406605,0.00825593395252838,0,0.00722394220846233,0,0.00515995872033024
"138refD",0,0.0135363790186125,0.0372250423011844,0.0219966159052453,0,0.0152284263959391,0,0,0.0558375634517767,0,0.0135363790186125,0.0338409475465313,0,0.011844331641286,0,0.00676818950930626
"138refU",0,0,0.0743099787685775,0.0212314225053079,0,0.0212314225053079,0,0,0.0552016985138004,0,0.0212314225053079,0.0360934182590234,0,0.0276008492569002,0,0.0148619957537155
"139refD",0,0,0,0,0,0,0.0141242937853107,0,0.0508474576271186,0,0,0.0395480225988701,0,0,0,0
"139refU",0,0,0,0,0,0,0.0277777777777778,0,0.0493827160493827,0,0,0.0524691358024691,0,0,0,0
"140refD",0.00508905852417303,0,0,0,0.00508905852417303,0,0,0,0,0.00127226463104326,0,0.146310432569975,0,0,0.00254452926208651,0
"140refU",0.00398406374501992,0,0,0,0.00796812749003984,0,0,0,0,0,0,0.158034528552457,0,0,0.00265604249667995,0
"141refD",0,0,0,0,0,0.0101010101010101,0.00808080808080808,0,0.0343434343434343,0,0,0.0181818181818182,0,0,0,0
"141refU",0,0,0,0,0.00181159420289855,0.0126811594202899,0.00905797101449275,0,0.0199275362318841,0,0,0.0199275362318841,0,0,0,0
"142refD",0,0,0.0174672489082969,0,0,0.0174672489082969,0,0.0305676855895196,0.0189228529839884,0,0.00727802037845706,0,0,0,0,0
"142refU",0,0,0.0419426048565121,0,0,0.0242825607064018,0,0.0309050772626932,0.033112582781457,0,0.0132450331125828,0,0,0,0,0
"143refD",0,0,0.0310457516339869,0,0,0,0,0,0,0,0,0.0277777777777778,0,0,0,0
"143refU",0,0,0.0153846153846154,0,0,0,0,0,0,0,0,0.0324786324786325,0,0,0,0
"144refD",0.00122100122100122,0,0.00854700854700855,0,0.00122100122100122,0.0195360195360195,0,0.00976800976800977,0.0378510378510378,0,0.00366300366300366,0.0195360195360195,0,0.0122100122100122,0,0
"144refU",0.00148148148148148,0,0.0162962962962963,0,0.00148148148148148,0.0192592592592593,0,0.0148148148148148,0.0296296296296296,0,0.00740740740740741,0.0148148148148148,0,0.00888888888888889,0,0
"145refD",0,0,0,0,0,0,0,0,0.0742574257425743,0,0.0198019801980198,0.0165016501650165,0,0,0,0
"145refU",0,0,0,0,0,0,0,0,0.0628930817610063,0,0.0188679245283019,0.0163522012578616,0,0,0,0
"146refD",0,0,0.0184254606365159,0,0,0,0,0.0201005025125628,0.0134003350083752,0,0,0,0,0,0,0
"146refU",0,0,0.0349040139616056,0,0,0,0,0.0244328097731239,0.0087260034904014,0,0,0,0,0,0,0
